# z      t_rms    u_rms
0.248587 0.006800 0.001930
0.250708 0.006788 0.001912
0.252835 0.006777 0.001893
0.254968 0.006765 0.001875
0.257107 0.006754 0.001857
0.259252 0.006743 0.001838
0.261403 0.006731 0.001820
0.263559 0.006720 0.001801
0.265721 0.006709 0.001783
0.267889 0.006698 0.001765
0.270062 0.006687 0.001746
0.272241 0.006676 0.001728
0.274425 0.006665 0.001709
0.276615 0.006654 0.001691
0.278810 0.006644 0.001673
0.281010 0.006633 0.001654
0.283216 0.006622 0.001636
0.285427 0.006612 0.001618
0.287643 0.006602 0.001599
0.289864 0.006591 0.001581
0.292090 0.006581 0.001563
0.294321 0.006571 0.001545
0.296557 0.006561 0.001526
0.298798 0.006551 0.001508
0.301044 0.006541 0.001490
0.303294 0.006531 0.001472
0.305550 0.006521 0.001453
0.307810 0.006511 0.001435
0.310074 0.006502 0.001417
0.312343 0.006492 0.001399
0.314617 0.006483 0.001381
0.316895 0.006474 0.001363
0.319178 0.006465 0.001344
0.321464 0.006456 0.001326
0.323756 0.006447 0.001308
0.326051 0.006438 0.001290
0.328350 0.006429 0.001272
0.330654 0.006420 0.001254
0.332962 0.006412 0.001236
0.335274 0.006403 0.001218
0.337589 0.006395 0.001200
0.339909 0.006387 0.001182
0.342232 0.006379 0.001164
0.344560 0.006371 0.001146
0.346891 0.006363 0.001128
0.349225 0.006355 0.001110
0.351563 0.006347 0.001092
0.353905 0.006339 0.001074
0.356251 0.006332 0.001056
0.358599 0.006325 0.001038
0.360952 0.006317 0.001020
0.363307 0.006310 0.001003
0.365666 0.006303 0.000985
0.368028 0.006296 0.000967
0.370393 0.006289 0.000949
0.372762 0.006283 0.000931
0.375133 0.006276 0.000914
0.377507 0.006270 0.000896
0.379885 0.006263 0.000878
0.382265 0.006257 0.000860
0.384648 0.006251 0.000843
0.387034 0.006245 0.000825
0.389422 0.006239 0.000807
0.391813 0.006234 0.000790
0.394207 0.006228 0.000772
0.396604 0.006222 0.000754
0.399002 0.006217 0.000737
0.401404 0.006212 0.000719
0.403807 0.006207 0.000702
0.406213 0.006202 0.000684
0.408621 0.006197 0.000667
0.411032 0.006192 0.000649
0.413444 0.006187 0.000632
0.415859 0.006183 0.000614
0.418275 0.006178 0.000597
0.420694 0.006174 0.000579
0.423114 0.006170 0.000562
0.425537 0.006166 0.000545
0.427961 0.006162 0.000527
0.430386 0.006158 0.000510
0.432814 0.006155 0.000493
0.435243 0.006151 0.000475
0.437674 0.006148 0.000458
0.440106 0.006144 0.000441
0.442540 0.006141 0.000424
0.444975 0.006138 0.000407
0.447411 0.006135 0.000390
0.449848 0.006133 0.000373
0.452287 0.006130 0.000356
0.454727 0.006127 0.000339
0.457168 0.006125 0.000323
0.459610 0.006123 0.000306
0.462053 0.006121 0.000290
0.464497 0.006119 0.000273
0.466942 0.006117 0.000257
0.469387 0.006115 0.000241
0.471834 0.006114 0.000225
0.474281 0.006112 0.000210
0.476728 0.006111 0.000195
0.479176 0.006110 0.000180
0.481625 0.006109 0.000166
0.484074 0.006108 0.000153
0.486524 0.006107 0.000140
0.488973 0.006106 0.000129
0.491424 0.006106 0.000120
0.493874 0.006105 0.000112
0.496324 0.006105 0.000106
0.498775 0.006105 0.000104
0.501225 0.006105 0.000104
0.503676 0.006105 0.000107
0.506126 0.006105 0.000113
0.508576 0.006106 0.000121
0.511027 0.006106 0.000131
0.513476 0.006107 0.000142
0.515926 0.006108 0.000155
0.518375 0.006108 0.000168
0.520824 0.006109 0.000183
0.523272 0.006111 0.000197
0.525719 0.006112 0.000212
0.528166 0.006113 0.000228
0.530613 0.006115 0.000244
0.533058 0.006117 0.000260
0.535503 0.006119 0.000276
0.537947 0.006120 0.000292
0.540390 0.006123 0.000309
0.542832 0.006125 0.000325
0.545273 0.006127 0.000342
0.547713 0.006130 0.000359
0.550152 0.006132 0.000376
0.552589 0.006135 0.000393
0.555025 0.006138 0.000410
0.557460 0.006141 0.000427
0.559894 0.006144 0.000444
0.562326 0.006147 0.000461
0.564757 0.006151 0.000478
0.567186 0.006154 0.000495
0.569614 0.006158 0.000513
0.572039 0.006161 0.000530
0.574463 0.006165 0.000547
0.576886 0.006169 0.000565
0.579306 0.006173 0.000582
0.581725 0.006178 0.000599
0.584141 0.006182 0.000617
0.586556 0.006187 0.000634
0.588968 0.006191 0.000652
0.591379 0.006196 0.000669
0.593787 0.006201 0.000687
0.596193 0.006206 0.000704
0.598596 0.006211 0.000722
0.600998 0.006216 0.000739
0.603396 0.006222 0.000757
0.605793 0.006227 0.000775
0.608187 0.006233 0.000792
0.610578 0.006238 0.000810
