# z      t_rms    u_rms
0.000035 0.000342 0.006010
0.000106 0.001041 0.017036
0.000180 0.001766 0.027269
0.000257 0.002518 0.036679
0.000337 0.003296 0.045250
0.000420 0.004099 0.052981
0.000505 0.004925 0.059880
0.000593 0.005773 0.065967
0.000684 0.006639 0.071267
0.000777 0.007522 0.075815
0.000874 0.008417 0.079652
0.000973 0.009323 0.082820
0.001075 0.010234 0.085370
0.001180 0.011147 0.087354
0.001288 0.012058 0.088828
0.001398 0.012963 0.089849
0.001511 0.013858 0.090476
0.001627 0.014739 0.090769
0.001746 0.015601 0.090785
0.001867 0.016442 0.090581
0.001992 0.017258 0.090210
0.002119 0.018045 0.089721
0.002249 0.018803 0.089158
0.002381 0.019527 0.088559
0.002517 0.020217 0.087954
0.002655 0.020872 0.087369
0.002796 0.021490 0.086822
0.002940 0.022071 0.086326
0.003086 0.022615 0.085887
0.003236 0.023122 0.085507
0.003388 0.023594 0.085186
0.003543 0.024030 0.084918
0.003700 0.024433 0.084699
0.003861 0.024803 0.084521
0.004024 0.025143 0.084376
0.004190 0.025454 0.084259
0.004359 0.025737 0.084162
0.004530 0.025995 0.084079
0.004704 0.026230 0.084006
0.004881 0.026442 0.083939
0.005061 0.026634 0.083875
0.005244 0.026808 0.083812
0.005429 0.026966 0.083747
0.005617 0.027108 0.083681
0.005808 0.027236 0.083613
0.006002 0.027352 0.083542
0.006198 0.027457 0.083470
0.006397 0.027551 0.083395
0.006599 0.027637 0.083318
0.006804 0.027715 0.083240
0.007011 0.027786 0.083162
0.007221 0.027850 0.083082
0.007434 0.027908 0.083003
0.007650 0.027962 0.082923
0.007868 0.028010 0.082843
0.008090 0.028055 0.082763
0.008314 0.028096 0.082684
0.008540 0.028133 0.082605
0.008770 0.028168 0.082527
0.009002 0.028200 0.082449
0.009237 0.028229 0.082372
0.009474 0.028256 0.082296
0.009715 0.028280 0.082221
0.009958 0.028303 0.082146
0.010204 0.028323 0.082072
0.010452 0.028342 0.081998
0.010704 0.028359 0.081926
0.010958 0.028374 0.081854
0.011215 0.028387 0.081783
0.011474 0.028399 0.081712
0.011737 0.028410 0.081643
0.012002 0.028418 0.081574
0.012269 0.028426 0.081506
0.012540 0.028432 0.081439
0.012813 0.028436 0.081372
0.013089 0.028439 0.081306
0.013367 0.028441 0.081241
0.013649 0.028442 0.081177
0.013933 0.028441 0.081113
0.014220 0.028439 0.081050
0.014509 0.028435 0.080987
0.014801 0.028430 0.080925
0.015096 0.028424 0.080864
0.015394 0.028417 0.080803
0.015694 0.028409 0.080743
0.015997 0.028399 0.080683
0.016303 0.028388 0.080624
0.016611 0.028376 0.080565
0.016923 0.028362 0.080507
0.017236 0.028348 0.080450
0.017553 0.028332 0.080392
0.017872 0.028316 0.080335
0.018194 0.028298 0.080279
0.018519 0.028279 0.080222
0.018846 0.028260 0.080166
0.019176 0.028239 0.080111
0.019509 0.028217 0.080055
0.019844 0.028194 0.080000
0.020182 0.028170 0.079946
0.020523 0.028146 0.079891
0.020866 0.028120 0.079837
0.021213 0.028094 0.079782
0.021561 0.028066 0.079728
0.021913 0.028038 0.079675
0.022267 0.028009 0.079621
