# z      t_rms    u_rms
0.000005 0.000458 0.000367
0.000020 0.001984 0.001567
0.000047 0.004732 0.003625
0.000086 0.008694 0.006376
0.000137 0.013847 0.009608
0.000200 0.020114 0.013074
0.000275 0.027315 0.016525
0.000362 0.035121 0.019728
0.000462 0.043040 0.022490
0.000573 0.050481 0.024674
0.000696 0.056900 0.026213
0.000831 0.061951 0.027113
0.000979 0.065570 0.027450
0.001138 0.067939 0.027355
0.001309 0.069368 0.026992
0.001492 0.070170 0.026525
0.001688 0.070582 0.026085
0.001895 0.070752 0.025746
0.002114 0.070754 0.025527
0.002345 0.070617 0.025406
0.002589 0.070356 0.025343
0.002844 0.069981 0.025302
0.003111 0.069506 0.025261
0.003390 0.068949 0.025211
0.003681 0.068327 0.025152
0.003984 0.067656 0.025085
0.004299 0.066950 0.025015
0.004626 0.066218 0.024943
0.004964 0.065469 0.024870
0.005315 0.064708 0.024796
0.005677 0.063941 0.024720
0.006052 0.063171 0.024643
0.006438 0.062401 0.024565
0.006836 0.061634 0.024485
0.007246 0.060872 0.024404
0.007668 0.060117 0.024322
0.008102 0.059371 0.024239
0.008548 0.058633 0.024155
0.009005 0.057905 0.024071
0.009474 0.057188 0.023985
0.009955 0.056482 0.023898
0.010448 0.055788 0.023811
0.010953 0.055105 0.023723
0.011469 0.054435 0.023634
0.011997 0.053776 0.023545
0.012537 0.053130 0.023455
0.013089 0.052496 0.023364
0.013652 0.051873 0.023273
0.014227 0.051263 0.023181
0.014814 0.050665 0.023089
0.015412 0.050079 0.022996
0.016022 0.049504 0.022904
0.016644 0.048941 0.022810
0.017277 0.048389 0.022717
0.017922 0.047848 0.022623
0.018578 0.047318 0.022529
0.019246 0.046799 0.022434
0.019926 0.046291 0.022340
0.020617 0.045793 0.022245
0.021320 0.045305 0.022150
0.022034 0.044827 0.022055
0.022760 0.044359 0.021960
0.023497 0.043900 0.021865
0.024246 0.043451 0.021769
0.025006 0.043011 0.021674
0.025778 0.042580 0.021579
0.026561 0.042158 0.021483
0.027355 0.041745 0.021388
0.028161 0.041339 0.021293
0.028978 0.040942 0.021198
0.029806 0.040553 0.021103
0.030646 0.040172 0.021008
0.031497 0.039799 0.020913
0.032359 0.039433 0.020818
0.033233 0.039074 0.020724
0.034118 0.038722 0.020629
0.035014 0.038378 0.020535
0.035921 0.038040 0.020441
0.036839 0.037708 0.020348
0.037769 0.037384 0.020254
0.038709 0.037065 0.020161
0.039661 0.036753 0.020068
0.040624 0.036446 0.019975
0.041597 0.036146 0.019883
0.042582 0.035851 0.019790
0.043578 0.035562 0.019699
0.044585 0.035279 0.019607
0.045603 0.035000 0.019516
0.046631 0.034727 0.019425
0.047671 0.034459 0.019334
0.048722 0.034197 0.019244
0.049783 0.033939 0.019154
0.050855 0.033685 0.019064
0.051938 0.033437 0.018975
0.053032 0.033193 0.018886
0.054136 0.032953 0.018797
0.055252 0.032718 0.018709
0.056378 0.032487 0.018621
0.057514 0.032260 0.018533
0.058662 0.032037 0.018446
0.059819 0.031818 0.018359
0.060988 0.031603 0.018272
0.062167 0.031392 0.018186
0.063357 0.031185 0.018101
0.064557 0.030981 0.018015
0.065767 0.030781 0.017930
0.066988 0.030584 0.017846
0.068220 0.030391 0.017761
0.069462 0.030201 0.017677
0.070714 0.030014 0.017594
0.071976 0.029830 0.017511
0.073249 0.029650 0.017428
0.074532 0.029472 0.017346
0.075825 0.029298 0.017264
0.077129 0.029126 0.017182
0.078443 0.028958 0.017101
0.079766 0.028792 0.017020
0.081100 0.028628 0.016940
0.082444 0.028468 0.016860
0.083798 0.028310 0.016780
0.085162 0.028155 0.016701
0.086536 0.028002 0.016622
0.087920 0.027851 0.016543
0.089314 0.027703 0.016465
0.090718 0.027557 0.016387
0.092132 0.027414 0.016310
0.093555 0.027273 0.016233
0.094988 0.027133 0.016156
0.096431 0.026996 0.016080
0.097884 0.026862 0.016004
0.099346 0.026729 0.015929
0.100818 0.026598 0.015854
0.102300 0.026469 0.015779
0.103791 0.026342 0.015705
0.105292 0.026217 0.015631
0.106802 0.026094 0.015557
0.108322 0.025973 0.015484
0.109851 0.025853 0.015412
0.111389 0.025736 0.015339
0.112937 0.025620 0.015267
0.114494 0.025506 0.015196
0.116061 0.025393 0.015125
0.117636 0.025282 0.015054
0.119221 0.025173 0.014984
0.120815 0.025065 0.014914
