# z      t_rms    u_rms
0.000160 0.008730 0.025273
0.000482 0.026103 0.063762
0.000805 0.042716 0.092277
0.001131 0.057795 0.112553
0.001458 0.070848 0.126876
0.001787 0.081722 0.137126
0.002119 0.090507 0.144608
0.002452 0.097427 0.150175
0.002787 0.102758 0.154389
0.003124 0.106779 0.157622
0.003462 0.109739 0.160127
0.003803 0.111854 0.162080
0.004146 0.113304 0.163608
0.004490 0.114232 0.164802
0.004837 0.114754 0.165731
0.005185 0.114961 0.166445
0.005535 0.114925 0.166985
0.005888 0.114701 0.167379
0.006242 0.114334 0.167654
0.006598 0.113857 0.167830
0.006956 0.113298 0.167922
0.007315 0.112677 0.167942
0.007677 0.112010 0.167902
0.008041 0.111311 0.167808
0.008406 0.110588 0.167669
0.008774 0.109851 0.167491
0.009143 0.109106 0.167278
0.009514 0.108356 0.167035
0.009887 0.107606 0.166766
0.010262 0.106859 0.166474
0.010639 0.106117 0.166162
0.011017 0.105382 0.165833
0.011398 0.104655 0.165489
0.011780 0.103936 0.165133
0.012165 0.103227 0.164765
0.012551 0.102529 0.164388
0.012939 0.101840 0.164003
0.013329 0.101162 0.163610
0.013721 0.100494 0.163210
0.014115 0.099837 0.162805
0.014510 0.099191 0.162395
0.014908 0.098554 0.161981
0.015307 0.097928 0.161562
0.015708 0.097312 0.161141
0.016111 0.096707 0.160717
0.016516 0.096111 0.160290
0.016923 0.095525 0.159860
0.017332 0.094949 0.159429
0.017742 0.094383 0.158997
0.018154 0.093826 0.158565
0.018569 0.093278 0.158132
0.018985 0.092740 0.157700
0.019403 0.092210 0.157268
0.019822 0.091689 0.156837
0.020244 0.091177 0.156406
0.020667 0.090673 0.155975
0.021093 0.090176 0.155545
0.021520 0.089687 0.155116
0.021949 0.089206 0.154688
0.022380 0.088731 0.154260
0.022812 0.088263 0.153833
0.023247 0.087802 0.153408
0.023683 0.087348 0.152983
0.024122 0.086899 0.152561
0.024562 0.086457 0.152139
0.025003 0.086020 0.151720
0.025447 0.085588 0.151301
0.025893 0.085163 0.150883
0.026340 0.084742 0.150467
0.026789 0.084328 0.150051
0.027240 0.083918 0.149637
0.027693 0.083514 0.149224
0.028147 0.083116 0.148813
0.028604 0.082722 0.148402
0.029062 0.082334 0.147993
0.029522 0.081951 0.147587
0.029984 0.081574 0.147183
0.030448 0.081201 0.146781
0.030913 0.080833 0.146383
0.031380 0.080470 0.145989
0.031850 0.080112 0.145598
0.032320 0.079758 0.145211
0.032793 0.079409 0.144827
0.033268 0.079064 0.144447
0.033744 0.078723 0.144071
0.034222 0.078385 0.143697
0.034702 0.078051 0.143326
0.035184 0.077721 0.142957
0.035667 0.077393 0.142591
0.036152 0.077069 0.142227
0.036639 0.076748 0.141865
0.037128 0.076430 0.141504
0.037619 0.076115 0.141146
0.038111 0.075803 0.140791
0.038605 0.075494 0.140438
0.039101 0.075188 0.140089
0.039599 0.074886 0.139744
0.040099 0.074587 0.139402
0.040600 0.074292 0.139063
0.041103 0.073999 0.138728
0.041608 0.073711 0.138397
0.042114 0.073425 0.138070
0.042623 0.073143 0.137746
0.043133 0.072865 0.137426
0.043644 0.072590 0.137110
0.044158 0.072319 0.136796
0.044673 0.072051 0.136486
0.045191 0.071787 0.136179
0.045709 0.071527 0.135875
0.046230 0.071269 0.135575
0.046752 0.071015 0.135277
0.047277 0.070764 0.134982
0.047802 0.070515 0.134691
0.048330 0.070269 0.134402
0.048859 0.070025 0.134116
0.049390 0.069783 0.133833
0.049923 0.069544 0.133552
0.050458 0.069307 0.133273
0.050994 0.069071 0.132996
0.051532 0.068837 0.132721
0.052072 0.068605 0.132448
0.052613 0.068375 0.132179
0.053156 0.068146 0.131912
0.053701 0.067919 0.131649
0.054248 0.067694 0.131390
0.054796 0.067471 0.131133
0.055346 0.067249 0.130879
0.055898 0.067030 0.130626
0.056451 0.066814 0.130377
0.057007 0.066600 0.130130
0.057563 0.066388 0.129887
0.058122 0.066179 0.129647
0.058682 0.065972 0.129408
0.059244 0.065768 0.129173
0.059808 0.065566 0.128940
0.060373 0.065367 0.128711
0.060940 0.065169 0.128486
0.061509 0.064974 0.128264
0.062080 0.064781 0.128043
0.062652 0.064590 0.127823
0.063225 0.064401 0.127604
0.063801 0.064213 0.127387
0.064378 0.064027 0.127172
0.064957 0.063843 0.126960
0.065538 0.063659 0.126750
0.066120 0.063477 0.126542
0.066704 0.063297 0.126335
0.067289 0.063117 0.126130
0.067876 0.062939 0.125926
0.068465 0.062763 0.125724
0.069056 0.062587 0.125524
0.069648 0.062413 0.125326
0.070242 0.062240 0.125130
0.070837 0.062067 0.124936
0.071434 0.061896 0.124742
0.072033 0.061725 0.124550
0.072634 0.061555 0.124358
0.073236 0.061385 0.124167
0.073840 0.061216 0.123976
0.074445 0.061048 0.123788
0.075052 0.060881 0.123600
0.075661 0.060714 0.123414
0.076271 0.060548 0.123229
0.076883 0.060383 0.123044
0.077496 0.060219 0.122860
0.078112 0.060056 0.122676
0.078728 0.059894 0.122493
0.079347 0.059733 0.122311
0.079967 0.059573 0.122128
0.080588 0.059415 0.121943
0.081212 0.059258 0.121758
0.081837 0.059102 0.121573
0.082463 0.058948 0.121388
0.083091 0.058796 0.121204
0.083721 0.058645 0.121021
0.084352 0.058495 0.120837
0.084985 0.058347 0.120653
0.085620 0.058200 0.120467
0.086256 0.058054 0.120280
0.086893 0.057910 0.120092
0.087533 0.057767 0.119905
0.088174 0.057625 0.119718
0.088816 0.057484 0.119534
0.089460 0.057344 0.119349
0.090106 0.057206 0.119165
0.090753 0.057068 0.118980
0.091402 0.056931 0.118796
0.092052 0.056795 0.118613
0.092704 0.056660 0.118431
0.093358 0.056525 0.118251
0.094013 0.056391 0.118072
0.094669 0.056257 0.117895
0.095327 0.056124 0.117718
0.095987 0.055992 0.117542
0.096649 0.055860 0.117364
