# z      t_rms    u_rms
0.000011 0.002043 0.001531
0.000035 0.006306 0.004641
0.000064 0.011024 0.007992
0.000098 0.016160 0.011502
0.000136 0.021626 0.015086
0.000179 0.027280 0.018656
0.000226 0.032934 0.022130
0.000278 0.038376 0.025430
0.000335 0.043382 0.028489
0.000396 0.047741 0.031250
0.000462 0.051268 0.033670
0.000533 0.053844 0.035720
0.000608 0.055442 0.037386
0.000688 0.056147 0.038668
0.000772 0.056128 0.039582
0.000861 0.055596 0.040155
0.000955 0.054751 0.040426
0.001053 0.053754 0.040446
0.001156 0.052712 0.040267
0.001264 0.051688 0.039949
0.001376 0.050706 0.039547
0.001493 0.049770 0.039111
0.001614 0.048872 0.038685
0.001740 0.048005 0.038298
0.001871 0.047164 0.037971
0.002006 0.046345 0.037711
0.002146 0.045549 0.037518
0.002290 0.044779 0.037381
0.002439 0.044036 0.037290
0.002593 0.043323 0.037232
0.002751 0.042640 0.037193
0.002914 0.041987 0.037164
0.003082 0.041362 0.037137
0.003254 0.040763 0.037106
0.003430 0.040189 0.037070
0.003612 0.039637 0.037029
0.003798 0.039105 0.036982
0.003988 0.038591 0.036930
0.004183 0.038095 0.036876
0.004383 0.037615 0.036821
0.004587 0.037150 0.036766
0.004796 0.036700 0.036711
0.005009 0.036264 0.036657
0.005227 0.035841 0.036604
0.005450 0.035431 0.036553
0.005677 0.035033 0.036502
0.005909 0.034647 0.036453
0.006145 0.034272 0.036404
0.006386 0.033908 0.036355
0.006631 0.033554 0.036308
0.006881 0.033211 0.036260
0.007136 0.032877 0.036213
0.007395 0.032552 0.036167
0.007659 0.032236 0.036121
0.007927 0.031929 0.036075
0.008200 0.031629 0.036030
0.008477 0.031338 0.035985
0.008759 0.031054 0.035941
0.009045 0.030777 0.035897
0.009336 0.030507 0.035853
0.009632 0.030244 0.035810
0.009932 0.029987 0.035768
0.010237 0.029737 0.035726
0.010546 0.029492 0.035684
0.010860 0.029253 0.035642
0.011178 0.029020 0.035601
0.011500 0.028793 0.035561
0.011828 0.028572 0.035520
0.012160 0.028355 0.035481
0.012496 0.028144 0.035441
0.012837 0.027939 0.035402
0.013182 0.027738 0.035363
0.013532 0.027541 0.035325
0.013886 0.027350 0.035287
0.014245 0.027163 0.035249
0.014608 0.026980 0.035212
0.014976 0.026801 0.035175
0.015348 0.026626 0.035138
0.015725 0.026456 0.035101
0.016107 0.026289 0.035065
0.016492 0.026125 0.035030
0.016883 0.025966 0.034994
0.017277 0.025810 0.034959
0.017677 0.025657 0.034924
0.018080 0.025507 0.034890
0.018488 0.025361 0.034855
0.018901 0.025218 0.034821
0.019318 0.025078 0.034788
0.019739 0.024940 0.034754
0.020165 0.024806 0.034721
0.020596 0.024674 0.034688
0.021030 0.024545 0.034655
0.021470 0.024418 0.034622
0.021913 0.024294 0.034590
0.022361 0.024172 0.034558
0.022814 0.024052 0.034526
0.023271 0.023935 0.034495
0.023732 0.023820 0.034463
0.024198 0.023706 0.034432
0.024668 0.023595 0.034401
0.025143 0.023486 0.034370
0.025622 0.023380 0.034339
0.026105 0.023275 0.034309
0.026593 0.023173 0.034279
0.027085 0.023073 0.034249
0.027581 0.022975 0.034219
0.028082 0.022878 0.034189
0.028588 0.022783 0.034160
0.029097 0.022690 0.034130
0.029611 0.022598 0.034101
0.030129 0.022508 0.034072
0.030652 0.022420 0.034043
0.031179 0.022334 0.034014
0.031710 0.022249 0.033986
0.032246 0.022165 0.033957
0.032786 0.022083 0.033929
0.033331 0.022001 0.033901
0.033879 0.021921 0.033873
0.034432 0.021842 0.033845
0.034989 0.021764 0.033817
0.035551 0.021687 0.033790
0.036117 0.021612 0.033762
0.036687 0.021538 0.033735
0.037262 0.021465 0.033708
0.037840 0.021394 0.033681
0.038423 0.021323 0.033654
0.039011 0.021253 0.033627
0.039602 0.021184 0.033601
0.040198 0.021115 0.033574
0.040798 0.021047 0.033548
0.041403 0.020980 0.033522
0.042011 0.020913 0.033496
0.042624 0.020847 0.033470
0.043241 0.020782 0.033444
0.043862 0.020718 0.033418
0.044488 0.020655 0.033392
0.045118 0.020593 0.033367
0.045752 0.020532 0.033341
0.046390 0.020472 0.033316
0.047032 0.020413 0.033290
0.047679 0.020354 0.033265
0.048330 0.020297 0.033240
0.048984 0.020240 0.033215
0.049644 0.020185 0.033190
0.050307 0.020131 0.033165
0.050974 0.020078 0.033140
0.051646 0.020025 0.033115
0.052322 0.019973 0.033090
0.053002 0.019922 0.033065
0.053686 0.019872 0.033041
0.054374 0.019822 0.033016
0.055066 0.019772 0.032991
0.055762 0.019722 0.032967
0.056463 0.019674 0.032942
0.057168 0.019626 0.032918
0.057876 0.019579 0.032894
0.058589 0.019533 0.032869
0.059306 0.019488 0.032845
0.060027 0.019443 0.032821
0.060752 0.019398 0.032797
0.061481 0.019354 0.032773
0.062214 0.019310 0.032749
0.062952 0.019267 0.032726
0.063693 0.019225 0.032702
0.064438 0.019183 0.032678
0.065187 0.019142 0.032655
0.065941 0.019102 0.032631
0.066698 0.019062 0.032608
0.067460 0.019022 0.032584
0.068225 0.018983 0.032561
0.068994 0.018945 0.032537
0.069768 0.018906 0.032514
0.070545 0.018869 0.032490
0.071327 0.018831 0.032467
0.072112 0.018795 0.032443
0.072901 0.018758 0.032420
0.073694 0.018723 0.032397
0.074492 0.018688 0.032374
0.075293 0.018654 0.032351
0.076098 0.018620 0.032328
0.076907 0.018586 0.032305
0.077720 0.018553 0.032282
0.078537 0.018520 0.032260
0.079357 0.018489 0.032237
0.080182 0.018457 0.032214
0.081010 0.018426 0.032192
0.081843 0.018394 0.032169
0.082679 0.018363 0.032147
0.083519 0.018333 0.032124
0.084363 0.018302 0.032102
0.085211 0.018271 0.032080
0.086062 0.018241 0.032057
0.086918 0.018211 0.032035
0.087777 0.018181 0.032013
0.088640 0.018151 0.031990
0.089507 0.018122 0.031968
0.090378 0.018092 0.031946
0.091253 0.018063 0.031924
0.092131 0.018035 0.031902
0.093013 0.018008 0.031880
0.093899 0.017981 0.031858
0.094788 0.017955 0.031836
0.095682 0.017930 0.031814
0.096579 0.017905 0.031792
0.097480 0.017880 0.031770
0.098384 0.017856 0.031748
0.099293 0.017831 0.031727
0.100205 0.017807 0.031705
0.101120 0.017782 0.031684
0.102040 0.017758 0.031662
0.102963 0.017733 0.031641
0.103890 0.017708 0.031620
0.104820 0.017684 0.031599
0.105754 0.017660 0.031578
0.106692 0.017637 0.031557
0.107633 0.017613 0.031536
0.108578 0.017589 0.031515
0.109527 0.017565 0.031494
0.110479 0.017542 0.031473
0.111435 0.017518 0.031453
0.112394 0.017495 0.031432
0.113357 0.017472 0.031411
0.114324 0.017448 0.031391
0.115294 0.017425 0.031370
0.116268 0.017402 0.031350
0.117245 0.017378 0.031330
0.118226 0.017355 0.031310
0.119210 0.017332 0.031289
0.120198 0.017310 0.031269
0.121190 0.017287 0.031249
0.122185 0.017265 0.031228
0.123183 0.017243 0.031208
0.124185 0.017221 0.031188
0.125190 0.017201 0.031167
0.126199 0.017180 0.031147
0.127212 0.017159 0.031127
0.128227 0.017138 0.031106
0.129247 0.017117 0.031086
0.130269 0.017097 0.031066
0.131295 0.017076 0.031045
0.132325 0.017055 0.031025
0.133358 0.017035 0.031005
0.134394 0.017015 0.030985
0.135434 0.016995 0.030965
0.136477 0.016975 0.030946
0.137523 0.016955 0.030926
0.138573 0.016936 0.030906
0.139626 0.016915 0.030887
0.140682 0.016895 0.030867
0.141742 0.016875 0.030848
0.142805 0.016854 0.030829
0.143872 0.016834 0.030809
0.144941 0.016814 0.030790
0.146014 0.016795 0.030771
