# z      t_rms    u_rms
0.000006 0.000300 0.000314
0.000024 0.001199 0.001241
0.000054 0.002699 0.002737
0.000096 0.004797 0.004733
0.000150 0.007492 0.007135
0.000216 0.010775 0.009836
0.000294 0.014627 0.012715
0.000384 0.019006 0.015649
0.000486 0.023841 0.018518
0.000600 0.029019 0.021211
0.000726 0.034388 0.023635
0.000864 0.039763 0.025714
0.001015 0.044944 0.027401
0.001177 0.049748 0.028672
0.001351 0.054038 0.029530
0.001537 0.057743 0.030008
0.001734 0.060861 0.030159
0.001944 0.063445 0.030053
0.002166 0.065584 0.029772
0.002400 0.067372 0.029396
0.002646 0.068896 0.029000
0.002904 0.070219 0.028638
0.003173 0.071385 0.028343
0.003455 0.072415 0.028128
0.003749 0.073323 0.027986
0.004054 0.074111 0.027899
0.004371 0.074783 0.027848
0.004701 0.075340 0.027814
0.005042 0.075788 0.027783
0.005395 0.076134 0.027747
0.005760 0.076384 0.027703
0.006137 0.076548 0.027652
0.006525 0.076633 0.027595
0.006926 0.076647 0.027534
0.007338 0.076598 0.027470
0.007763 0.076491 0.027404
0.008199 0.076333 0.027337
0.008646 0.076126 0.027268
0.009106 0.075878 0.027198
0.009578 0.075590 0.027127
0.010061 0.075268 0.027054
0.010556 0.074915 0.026979
0.011062 0.074534 0.026903
0.011581 0.074128 0.026826
0.012111 0.073700 0.026747
0.012653 0.073252 0.026667
0.013207 0.072786 0.026586
0.013772 0.072305 0.026504
0.014349 0.071811 0.026421
0.014938 0.071306 0.026336
0.015538 0.070790 0.026251
0.016150 0.070266 0.026164
0.016774 0.069735 0.026077
0.017409 0.069198 0.025988
0.018056 0.068656 0.025899
0.018714 0.068111 0.025809
0.019384 0.067563 0.025718
0.020066 0.067013 0.025627
0.020759 0.066462 0.025534
0.021463 0.065911 0.025441
0.022179 0.065360 0.025348
0.022907 0.064810 0.025253
0.023646 0.064261 0.025158
0.024396 0.063715 0.025063
0.025158 0.063171 0.024967
0.025931 0.062629 0.024871
0.026716 0.062091 0.024774
0.027512 0.061557 0.024676
0.028319 0.061026 0.024579
0.029138 0.060500 0.024480
0.029968 0.059977 0.024382
0.030809 0.059460 0.024283
0.031662 0.058947 0.024184
0.032525 0.058439 0.024084
0.033400 0.057936 0.023984
0.034287 0.057438 0.023884
0.035184 0.056946 0.023784
0.036093 0.056459 0.023683
0.037012 0.055978 0.023582
0.037943 0.055502 0.023481
0.038885 0.055032 0.023380
0.039838 0.054567 0.023279
0.040802 0.054109 0.023177
0.041777 0.053655 0.023076
0.042763 0.053208 0.022974
0.043760 0.052767 0.022872
0.044768 0.052331 0.022770
0.045787 0.051901 0.022668
0.046817 0.051476 0.022566
0.047858 0.051058 0.022464
0.048910 0.050645 0.022362
0.049972 0.050237 0.022260
0.051046 0.049836 0.022158
0.052130 0.049439 0.022056
0.053224 0.049049 0.021954
0.054330 0.048664 0.021851
0.055446 0.048284 0.021749
0.056573 0.047910 0.021647
0.057711 0.047541 0.021545
0.058859 0.047177 0.021443
0.060018 0.046819 0.021341
0.061187 0.046466 0.021240
